,number,name,type1,type2,h,a,b,c,d,s,abi1,abi2,abi3,weight,single,double,generation
246,297,ハリテヤマ,かくとう,,144,120,60,40,60,50,あついしぼう,こんじょう,ちからずく,253.8,1,1,3
247,298,ルリリ,ノーマル,フェアリー,50,20,40,20,40,20,あついしぼう,ちからもち,そうしょく,2,0,0,3
248,299,ノズパス,いわ,,30,45,135,45,90,30,がんじょう,じりょく,すなのちから,97,0,0,3
249,302,ヤミラミ,あく,ゴースト,50,75,75,65,65,50,するどいめ,あとだし,いたずらごころ,11,0,3,3
250,307,アサナン,かくとう,エスパー,30,40,55,40,55,60,ヨガパワー,,テレパシー,11.2,0,0,3
251,308,チャーレム,かくとう,エスパー,60,60,75,60,75,80,ヨガパワー,,テレパシー,31.5,1,1,3
252,311,プラスル,でんき,,60,50,40,85,75,95,プラス,,ひらいしん,4.2,0,0,3
253,312,マイナン,でんき,,60,40,50,75,85,95,マイナス,,ちくでん,4.2,0,0,3
254,313,バルビート,むし,,65,73,75,47,85,85,はっこう,むしのしらせ,いたずらごころ,17.7,2,2,3
255,314,イルミーゼ,むし,,65,47,75,73,85,85,どんかん,いろめがね,いたずらごころ,17.7,2,3,3
256,316,ゴクリン,どく,,70,43,53,43,53,40,ヘドロえき,ねんちゃく,くいしんぼう,10.3,0,0,3
257,317,マルノーム,どく,,100,73,83,73,83,55,ヘドロえき,ねんちゃく,くいしんぼう,80,1,1,3
258,322,ドンメル,ほのお,じめん,60,60,40,65,45,35,どんかん,たんじゅん,マイペース,24,0,0,3
259,323,バクーダ,ほのお,じめん,70,100,70,105,75,40,マグマのよろい,ハードロック,いかりのつぼ,220,1,1,3
260,324,コータス,ほのお,,70,85,140,85,70,20,しろいけむり,ひでり,シェルアーマー,80.4,3,4,3
261,325,バネブー,エスパー,,60,25,35,70,80,60,あついしぼう,マイペース,くいしんぼう,30.6,0,0,3
262,326,ブーピッグ,エスパー,,80,45,65,90,110,80,あついしぼう,マイペース,くいしんぼう,71.5,1,1,3
263,328,ナックラー,じめん,,45,100,45,45,45,10,かいりきバサミ,ありじごく,ちからずく,15,0,0,3
264,329,ビブラーバ,じめん,ドラゴン,50,70,50,50,50,70,ふゆう,,,15.3,0,0,3
265,330,フライゴン,じめん,ドラゴン,80,100,80,80,80,100,ふゆう,,,82,0,0,3
266,331,サボネア,くさ,,50,85,40,85,40,35,すながくれ,,ちょすい,51.3,0,0,3
267,332,ノクタス,くさ,あく,70,115,60,115,60,55,すながくれ,,ちょすい,77.4,1,1,3
268,333,チルット,ノーマル,ひこう,45,40,60,40,75,50,しぜんかいふく,,ノーてんき,1.2,0,0,3
269,334,チルタリス,ドラゴン,ひこう,75,70,90,70,105,80,しぜんかいふく,,ノーてんき,20.6,1,1,3
270,335,ザングース,ノーマル,,73,115,60,60,60,90,めんえき,,どくぼうそう,40.3,1,1,3
271,336,ハブネーク,どく,,73,100,60,100,60,65,だっぴ,,すりぬけ,52.5,1,1,3
272,339,ドジョッチ,みず,じめん,50,48,43,46,41,60,どんかん,きけんよち,うるおいボディ,1.9,0,0,3
273,340,ナマズン,みず,じめん,110,78,73,76,71,60,どんかん,きけんよち,うるおいボディ,23.6,1,1,3
274,341,ヘイガニ,みず,,43,80,65,50,35,35,かいりきバサミ,シェルアーマー,てきおうりょく,11.5,0,0,3
275,342,シザリガー,みず,あく,63,120,85,90,55,55,かいりきバサミ,シェルアーマー,てきおうりょく,32.8,1,1,3
276,349,ヒンバス,みず,,20,15,20,10,55,80,すいすい,どんかん,てきおうりょく,7.4,0,0,3
277,350,ミロカロス,みず,,95,60,79,100,125,81,ふしぎなうろこ,かちき,メロメロボディ,162,4,4,3
278,353,カゲボウズ,ゴースト,,44,75,35,63,33,45,ふみん,おみとおし,のろわれボディ,2.3,0,0,3
279,354,ジュペッタ,ゴースト,,64,115,65,83,63,65,ふみん,おみとおし,のろわれボディ,12.5,1,1,3
280,355,ヨマワル,ゴースト,,20,40,90,30,90,25,ふゆう,,おみとおし,15,0,0,3
281,356,サマヨール,ゴースト,,40,70,130,60,130,25,プレッシャー,,おみとおし,30.6,1,4,3
282,357,トロピウス,くさ,ひこう,99,68,83,72,87,51,ようりょくそ,サンパワー,しゅうかく,100,1,1,3
283,358,チリーン,エスパー,,75,50,80,95,90,65,ふゆう,,,1,1,1,3
284,361,ユキワラシ,こおり,,50,50,50,50,50,50,せいしんりょく,アイスボディ,ムラっけ,16.8,0,0,3
285,362,オニゴーリ,こおり,,80,80,80,80,80,80,せいしんりょく,アイスボディ,ムラっけ,256.5,1,1,3
286,370,ラブカス,みず,,43,30,55,40,65,97,すいすい,,うるおいボディ,8.7,0,0,3
287,371,タツベイ,ドラゴン,,45,75,60,40,30,50,いしあたま,,ちからずく,42.1,0,0,3
288,372,コモルー,ドラゴン,,65,95,100,60,50,50,いしあたま,,ぼうじん,110.5,0,0,3
289,373,ボーマンダ,ドラゴン,ひこう,95,135,80,110,80,100,いかく,,じしんかじょう,102.6,3,3,3
290,374,ダンバル,はがね,エスパー,40,55,80,35,60,30,クリアボディ,,ライトメタル,95.2,0,0,3
291,375,メタング,はがね,エスパー,60,75,100,55,80,55,クリアボディ,,ライトメタル,202.5,0,0,3
292,376,メタグロス,はがね,エスパー,80,135,130,95,90,70,クリアボディ,,ライトメタル,550,0,0,3
293,377,レジロック,いわ,,80,100,200,50,100,50,クリアボディ,,がんじょう,230,0,0,3
294,378,レジアイス,こおり,,80,50,100,100,200,50,クリアボディ,,アイスボディ,175,0,0,3
295,379,レジスチル,はがね,,80,75,150,75,150,50,クリアボディ,,ライトメタル,205,0,0,3
296,380,ラティアス,ドラゴン,エスパー,80,80,90,110,130,110,ふゆう,,,40,0,0,3
297,381,ラティオス,ドラゴン,エスパー,80,90,80,130,110,110,ふゆう,,,60,0,0,3
298,382,カイオーガ,みず,,100,100,90,150,140,90,あめふらし,,,352,0,0,3
299,383,グラードン,じめん,,100,150,140,100,90,90,ひでり,,,950,0,0,3
300,384,レックウザ,ドラゴン,ひこう,105,150,90,150,90,95,エアロック,,,206.5,0,0,3
301,385,ジラーチ,はがね,エスパー,100,100,100,100,100,100,てんのめぐみ,,,1.1,0,0,3
302,386_1,デオキシス(ノーマル),エスパー,,50,150,50,150,50,150,プレッシャー,,,60.8,0,0,3
303,386_2,デオキシス(アタック),エスパー,,50,180,20,180,20,150,プレッシャー,,,60.8,0,0,3
304,386_3,デオキシス(ディフェンス),エスパー,,50,70,160,70,160,90,プレッシャー,,,60.8,0,0,3
305,386_4,デオキシス(スピード),エスパー,,50,95,90,95,90,180,プレッシャー,,,60.8,0,0,3
306,387,ナエトル,くさ,,55,68,64,45,55,31,しんりょく,,シェルアーマー,10.2,0,0,4
307,388,ハヤシガメ,くさ,,75,89,85,55,65,36,しんりょく,,シェルアーマー,97,0,0,4
308,389,ドダイトス,くさ,じめん,95,109,105,75,85,56,しんりょく,,シェルアーマー,310,3,2,4
309,390,ヒコザル,ほのお,,44,58,44,58,44,61,もうか,,てつのこぶし,6.2,0,0,4
310,391,モウカザル,ほのお,かくとう,64,78,52,78,52,81,もうか,,てつのこぶし,22,0,0,4
311,392,ゴウカザル,ほのお,かくとう,76,104,71,104,71,108,もうか,,てつのこぶし,55,3,3,4
312,393,ポッチャマ,みず,,53,51,53,61,56,40,げきりゅう,,かちき,5.2,0,0,4
313,394,ポッタイシ,みず,,64,66,68,81,76,50,げきりゅう,,かちき,23,0,0,4
314,395,エンペルト,みず,はがね,84,86,88,111,101,60,げきりゅう,,かちき,84.5,4,4,4
315,396,ムックル,ノーマル,ひこう,40,55,30,30,30,60,するどいめ,,すてみ,2,0,0,4
316,397,ムクバード,ノーマル,ひこう,55,75,50,40,40,80,いかく,,すてみ,15.5,0,0,4
317,398,ムクホーク,ノーマル,ひこう,85,120,70,50,60,100,いかく,,すてみ,24.9,2,2,4
318,401,コロボーシ,むし,,37,25,41,25,41,25,だっぴ,,にげあし,2.2,0,0,4
319,402,コロトック,むし,,77,85,51,55,51,65,むしのしらせ,,テクニシャン,25.5,1,1,4
320,403,コリンク,でんき,,45,65,34,40,34,45,とうそうしん,いかく,こんじょう,9.5,0,0,4
321,404,ルクシオ,でんき,,60,85,49,60,49,60,とうそうしん,いかく,こんじょう,30.5,0,0,4
322,405,レントラー,でんき,,80,120,79,95,79,70,とうそうしん,いかく,こんじょう,42,1,1,4
323,408,ズガイドス,いわ,,67,125,40,30,30,58,かたやぶり,,ちからずく,31.5,0,0,4
324,409,ラムパルド,いわ,,97,165,60,65,50,58,かたやぶり,,ちからずく,102.5,0,0,4
325,410,タテトプス,いわ,はがね,30,42,118,42,88,30,がんじょう,,ぼうおん,57,0,0,4
326,411,トリデプス,いわ,はがね,60,52,168,47,138,30,がんじょう,,ぼうおん,149.5,0,0,4
327,415,ミツハニー,むし,ひこう,30,30,42,30,42,70,みつあつめ,,はりきり,5.5,0,0,4
328,416,ビークイン,むし,ひこう,70,80,102,80,102,40,プレッシャー,,きんちょうかん,38.5,1,1,4
329,417,パチリス,でんき,,60,45,70,45,90,95,にげあし,ものひろい,ちくでん,3.9,2,2,4
330,418,ブイゼル,みず,,55,65,35,60,30,85,すいすい,,みずのベール,29.5,0,0,4
331,419,フローゼル,みず,,85,105,55,85,50,115,すいすい,,みずのベール,33.5,1,1,4
332,422_1,カラナクシ(にしのうみ),みず,,76,48,48,57,62,34,ねんちゃく,よびみず,すなのちから,6.3,0,0,4
333,422_2,カラナクシ(ひがしのうみ),みず,,76,48,48,57,62,34,ねんちゃく,よびみず,すなのちから,6.3,0,0,4
334,423_1,トリトドン(にしのうみ),みず,じめん,111,83,68,92,82,39,ねんちゃく,よびみず,すなのちから,29.9,2,3,4
335,423_2,トリトドン(ひがしのうみ),みず,じめん,111,83,68,92,82,39,ねんちゃく,よびみず,すなのちから,29.9,2,3,4
336,424,エテボース,ノーマル,,75,100,66,60,66,115,テクニシャン,ものひろい,スキルリンク,20.3,1,1,4
337,425,フワンテ,ゴースト,ひこう,90,50,34,60,44,70,ゆうばく,かるわざ,ねつぼうそう,1.2,0,0,4
338,426,フワライド,ゴースト,ひこう,150,80,44,90,54,80,ゆうばく,かるわざ,ねつぼうそう,15,1,1,4
339,429,ムウマージ,ゴースト,,60,60,60,105,105,105,ふゆう,,,4.4,1,1,4
340,430,ドンカラス,あく,ひこう,100,125,52,105,52,71,ふみん,きょううん,じしんかじょう,27.3,1,1,4
341,433,リーシャン,エスパー,,45,30,50,65,50,45,ふゆう,,,0.6,0,0,4
342,434,スカンプー,どく,あく,63,63,47,41,41,74,あくしゅう,ゆうばく,するどいめ,19.2,0,0,4
343,435,スカタンク,どく,あく,103,93,67,71,61,84,あくしゅう,ゆうばく,するどいめ,38,1,1,4
344,436,ドーミラー,はがね,エスパー,57,24,86,24,86,23,ふゆう,たいねつ,ヘヴィメタル,60.5,0,0,4
345,437,ドータクン,はがね,エスパー,67,89,116,79,116,33,ふゆう,たいねつ,ヘヴィメタル,187,2,2,4
346,438,ウソハチ,いわ,,50,80,95,10,45,10,がんじょう,いしあたま,びびり,15,0,0,4
347,440,ピンプク,ノーマル,,100,5,5,15,65,30,しぜんかいふく,てんのめぐみ,フレンドガード,24.4,0,0,4
348,442,ミカルゲ,ゴースト,あく,50,92,108,92,108,35,プレッシャー,,すりぬけ,108,2,2,4
349,443,フカマル,ドラゴン,じめん,58,70,45,40,45,42,すながくれ,,さめはだ,20.5,0,0,4
350,444,ガバイト,ドラゴン,じめん,68,90,65,50,55,82,すながくれ,,さめはだ,56,0,0,4
351,445,ガブリアス,ドラゴン,じめん,108,130,95,80,85,102,すながくれ,,さめはだ,95,4,3,4
352,446,ゴンベ,ノーマル,,135,85,40,40,85,5,ものひろい,あついしぼう,くいしんぼう,105,0,0,4
353,447,リオル,かくとう,,40,70,40,35,40,60,ふくつのこころ,せいしんりょく,いたずらごころ,20.2,0,0,4
354,448,ルカリオ,かくとう,はがね,70,110,70,115,70,90,ふくつのこころ,せいしんりょく,せいぎのこころ,54,3,2,4
355,449,ヒポポタス,じめん,,68,72,78,38,42,32,すなおこし,,すなのちから,49.5,0,0,4
356,450,カバルドン,じめん,,108,112,118,68,72,47,すなおこし,,すなのちから,300,3,2,4
357,453,グレッグル,どく,かくとう,48,61,40,61,40,50,きけんよち,かんそうはだ,どくしゅ,23,0,0,4
358,454,ドクロッグ,どく,かくとう,83,106,65,86,65,85,きけんよち,かんそうはだ,どくしゅ,44.4,2,2,4
359,456,ケイコウオ,みず,,49,49,56,49,61,66,すいすい,よびみず,みずのベール,7,0,0,4
360,457,ネオラント,みず,,69,69,76,69,86,91,すいすい,よびみず,みずのベール,24,1,1,4
361,459,ユキカブリ,くさ,こおり,60,62,50,62,60,40,ゆきふらし,,ぼうおん,50.5,0,0,4
362,460,ユキノオー,くさ,こおり,90,92,75,92,85,60,ゆきふらし,,ぼうおん,135.5,2,3,4
363,461,マニューラ,あく,こおり,70,120,65,45,85,125,プレッシャー,,わるいてぐせ,34,1,1,4
364,462,ジバコイル,でんき,はがね,70,70,115,130,90,60,じりょく,がんじょう,アナライズ,180,4,2,4
365,464,ドサイドン,じめん,いわ,115,140,130,55,55,40,ひらいしん,ハードロック,すてみ,282.8,0,0,4
366,466,エレキブル,でんき,,75,123,67,95,85,95,でんきエンジン,,やるき,138.6,0,0,4
367,467,ブーバーン,ほのお,,75,95,67,125,95,83,ほのおのからだ,,やるき,68,0,0,4
368,469,メガヤンマ,むし,ひこう,86,76,86,116,56,95,かそく,いろめがね,おみとおし,51.5,3,2,4
369,470,リーフィア,くさ,,65,110,130,60,65,95,リーフガード,,ようりょくそ,25.5,1,1,4
370,471,グレイシア,こおり,,65,60,110,130,95,65,ゆきがくれ,,アイスボディ,25.9,1,1,4
371,472,グライオン,じめん,ひこう,75,95,125,45,75,95,かいりきバサミ,すながくれ,ポイズンヒール,42.5,4,2,4
372,473,マンムー,こおり,じめん,110,130,80,70,60,80,どんかん,ゆきがくれ,あついしぼう,291,3,3,4
373,474,ポリゴンZ,ノーマル,,85,80,70,135,75,90,トレース,ダウンロード,アナライズ,34,0,0,4
374,475,エルレイド,エスパー,かくとう,68,125,65,65,115,80,ふくつのこころ,きれあじ,せいぎのこころ,52,2,2,4
375,476,ダイノーズ,いわ,はがね,60,55,145,75,150,40,がんじょう,じりょく,すなのちから,340,2,2,4
376,477,ヨノワール,ゴースト,,45,100,135,65,135,45,プレッシャー,,おみとおし,106.6,2,2,4
377,478,ユキメノコ,こおり,ゴースト,70,80,70,80,70,110,ゆきがくれ,,のろわれボディ,26.6,1,1,4
378,479_1,ロトム(基本),でんき,ゴースト,50,50,77,95,77,91,ふゆう,,,0.3,0,0,4
379,479_2,ロトム(ヒート),でんき,ほのお,50,65,107,105,107,86,ふゆう,,,0.3,3,2,4
380,479_3,ロトム(ウォッシュ),でんき,みず,50,65,107,105,107,86,ふゆう,,,0.3,4,2,4
381,479_4,ロトム(フロスト),でんき,こおり,50,65,107,105,107,86,ふゆう,,,0.3,1,1,4
382,479_5,ロトム(スピン),でんき,ひこう,50,65,107,105,107,86,ふゆう,,,0.3,1,1,4
383,479_6,ロトム(カット),でんき,くさ,50,65,107,105,107,86,ふゆう,,,0.3,1,1,4
384,480,ユクシー,エスパー,,75,75,130,75,130,95,ふゆう,,,0.3,2,2,4
385,481,エムリット,エスパー,,80,105,105,105,105,80,ふゆう,,,0.3,2,2,4
386,482,アグノム,エスパー,,75,125,70,125,70,115,ふゆう,,,0.3,2,2,4
387,483_1,ディアルガ(通常),はがね,ドラゴン,100,120,120,150,100,90,プレッシャー,,テレパシー,683,0,0,4
388,483_2,ディアルガ(オリジン),はがね,ドラゴン,100,100,120,150,120,90,プレッシャー,,テレパシー,850,0,0,8.5
389,484_1,パルキア(通常),みず,ドラゴン,90,120,100,150,120,100,プレッシャー,,テレパシー,336,0,0,4
390,484_2,パルキア(オリジン),みず,ドラゴン,90,100,100,150,120,120,プレッシャー,,テレパシー,660,0,0,8.5
391,485,ヒードラン,ほのお,はがね,91,90,106,130,106,77,もらいび,,ほのおのからだ,430,4,4,4
392,486,レジギガス,ノーマル,,110,160,110,80,110,100,スロースタート,,,420,0,0,4
393,487_1,ギラティナ(アナザー),ゴースト,ドラゴン,150,100,120,100,120,90,プレッシャー,,テレパシー,750,0,0,4
394,487_2,ギラティナ(オリジン),ゴースト,ドラゴン,150,120,100,120,100,90,ふゆう,,,650,0,0,4
395,488,クレセリア,エスパー,,120,70,110,75,120,85,ふゆう,,,85.6,4,4,4
396,489,フィオネ,みず,,80,80,80,80,80,80,うるおいボディ,,,3.1,0,0,4
397,490,マナフィ,みず,,100,100,100,100,100,100,うるおいボディ,,,1.4,0,0,4
398,491,ダークライ,あく,,70,90,90,135,90,125,ナイトメア,,,50.5,0,0,4
399,492_1,シェイミ(ランド),くさ,,100,100,100,100,100,100,しぜんかいふく,,,2.1,0,0,4
400,492_2,シェイミ(スカイ),くさ,ひこう,100,103,75,120,75,127,てんのめぐみ,,,5.2,0,0,4
401,493,アルセウス,ノーマル,,120,120,120,120,120,120,マルチタイプ,,,320,0,0,4
402,495,ツタージャ,くさ,,45,45,55,45,55,63,しんりょく,,あまのじゃく,8.1,0,0,5
403,496,ジャノビー,くさ,,60,60,75,60,75,83,しんりょく,,あまのじゃく,16,0,0,5
404,497,ジャローダ,くさ,,75,75,95,75,95,113,しんりょく,,あまのじゃく,63,0,0,5
405,498,ポカブ,ほのお,,65,63,45,45,45,45,もうか,,あついしぼう,9.9,0,0,5
406,499,チャオブー,ほのお,かくとう,90,93,55,70,55,55,もうか,,あついしぼう,55.5,0,0,5
407,500,エンブオー,ほのお,かくとう,110,123,65,100,65,65,もうか,,あついしぼう,150,0,0,5
408,501,ミジュマル,みず,,55,55,45,63,45,45,げきりゅう,,シェルアーマー,5.9,0,0,5
409,502,フタチマル,みず,,75,75,60,83,60,60,げきりゅう,,シェルアーマー,24.5,0,0,5
410,503_1,ダイケンキ(通常),みず,,95,100,85,108,70,70,げきりゅう,,シェルアーマー,94.6,2,2,5
411,503_2,ダイケンキ(ヒスイ),みず,あく,90,108,80,100,65,85,げきりゅう,,きれあじ,58.2,2,2,8.5
412,522,シママ,でんき,,45,60,32,50,32,76,ひらいしん,でんきエンジン,そうしょく,29.8,0,0,5
413,523,ゼブライカ,でんき,,75,100,63,80,63,116,ひらいしん,でんきエンジン,そうしょく,79.5,0,0,5
414,529,モグリュー,じめん,,60,85,40,30,45,68,すなかき,すなのちから,かたやぶり,8.5,0,0,5
415,530,ドリュウズ,じめん,はがね,110,135,60,50,65,88,すなかき,すなのちから,かたやぶり,40.4,0,0,5
416,532,ドッコラー,かくとう,,75,80,55,25,35,35,こんじょう,ちからずく,てつのこぶし,12.5,0,0,5
417,533,ドテッコツ,かくとう,,85,105,85,40,50,40,こんじょう,ちからずく,てつのこぶし,40,0,0,5
418,534,ローブシン,かくとう,,105,140,95,55,65,45,こんじょう,ちからずく,てつのこぶし,87,3,3,5
419,540,クルミル,むし,くさ,45,53,70,40,60,42,むしのしらせ,ようりょくそ,ぼうじん,2.5,0,0,5
420,541,クルマユ,むし,くさ,55,63,90,50,80,42,むしのしらせ,ようりょくそ,ぼうじん,7.3,0,0,5
421,542,ハハコモリ,むし,くさ,75,103,80,70,80,92,むしのしらせ,ようりょくそ,ぼうじん,20.5,1,1,5
422,546,モンメン,くさ,フェアリー,40,27,60,37,50,66,いたずらごころ,すりぬけ,ようりょくそ,0.6,0,0,5
423,547,エルフーン,くさ,フェアリー,60,67,85,77,75,116,いたずらごころ,すりぬけ,ようりょくそ,6.6,0,0,5
424,548,チュリネ,くさ,,45,35,50,70,50,30,ようりょくそ,マイペース,リーフガード,6.6,0,0,5
425,549_1,ドレディア(通常),くさ,,70,60,75,110,75,90,ようりょくそ,マイペース,リーフガード,16.3,1,1,5
426,549_2,ドレディア(ヒスイ),くさ,かくとう,70,105,75,50,75,105,ようりょくそ,はりきり,リーフガード,19.2,2,3,8.5
427,550_1,バスラオ(あかすじ),みず,,70,92,65,80,55,98,すてみ,てきおうりょく,かたやぶり,18,0,0,5
428,550_2,バスラオ(あおすじ),みず,,70,92,65,80,55,98,すてみ,てきおうりょく,かたやぶり,18,0,0,5
429,550_3,バスラオ(しろすじ),みず,,70,92,65,80,55,98,びびり,てきおうりょく,かたやぶり,18,0,0,8.5
430,551,メグロコ,じめん,あく,50,72,35,35,35,65,いかく,じしんかじょう,いかりのつぼ,15.2,0,0,5
431,552,ワルビル,じめん,あく,60,82,45,45,45,74,いかく,じしんかじょう,いかりのつぼ,33.4,0,0,5
432,553,ワルビアル,じめん,あく,95,117,80,65,70,92,いかく,じしんかじょう,いかりのつぼ,96.3,1,1,5
433,559,ズルッグ,あく,かくとう,50,75,70,35,70,48,だっぴ,じしんかじょう,いかく,11.8,0,0,5
434,560,ズルズキン,あく,かくとう,65,90,115,45,115,58,だっぴ,じしんかじょう,いかく,30,0,0,5
435,570_1,ゾロア(通常),あく,,40,65,40,80,40,65,イリュージョン,,,12.5,0,0,5
436,570_2,ゾロア(ヒスイ),ノーマル,ゴースト,35,60,40,85,40,70,イリュージョン,,,12.5,0,0,8.5
437,571_1,ゾロアーク(通常),あく,,60,105,60,120,60,105,イリュージョン,,,81.1,1,1,5
438,571_2,ゾロアーク(ヒスイ),ノーマル,ゴースト,55,100,60,125,60,110,イリュージョン,,,73,3,3,8.5
439,572,チラーミィ,ノーマル,,55,50,40,40,40,75,メロメロボディ,テクニシャン,スキルリンク,5.8,0,0,5
440,573,チラチーノ,ノーマル,,75,95,60,65,60,115,メロメロボディ,テクニシャン,スキルリンク,7.5,0,0,5
441,574,ゴチム,エスパー,,45,30,50,55,65,45,おみとおし,かちき,かげふみ,5.8,0,0,5
442,575,ゴチミル,エスパー,,60,45,70,75,85,55,おみとおし,かちき,かげふみ,18,0,0,5
443,576,ゴチルゼル,エスパー,,70,55,95,95,110,65,おみとおし,かちき,かげふみ,44,2,3,5
444,577,ユニラン,エスパー,,45,30,40,105,50,20,ぼうじん,マジックガード,さいせいりょく,1,0,0,5
445,578,ダブラン,エスパー,,65,40,50,125,60,30,ぼうじん,マジックガード,さいせいりょく,8,0,0,5
446,579,ランクルス,エスパー,,110,65,75,125,85,30,ぼうじん,マジックガード,さいせいりょく,20.1,0,0,5
447,580,コアルヒー,みず,ひこう,62,44,50,44,50,55,するどいめ,はとむね,うるおいボディ,5.5,0,0,5
448,581,スワンナ,みず,ひこう,75,87,63,87,63,98,するどいめ,はとむね,うるおいボディ,24.2,1,1,5
449,585_1,シキジカ(はる),ノーマル,くさ,60,60,50,40,50,75,ようりょくそ,そうしょく,てんのめぐみ,19.5,0,0,5
450,585_2,シキジカ(なつ),ノーマル,くさ,60,60,50,40,50,75,ようりょくそ,そうしょく,てんのめぐみ,19.5,0,0,5
451,585_3,シキジカ(あき),ノーマル,くさ,60,60,50,40,50,75,ようりょくそ,そうしょく,てんのめぐみ,19.5,0,0,5
452,585_4,シキジカ(ふゆ),ノーマル,くさ,60,60,50,40,50,75,ようりょくそ,そうしょく,てんのめぐみ,19.5,0,0,5
453,586_1,メブキジカ(はる),ノーマル,くさ,80,100,70,60,70,95,ようりょくそ,そうしょく,てんのめぐみ,92.5,1,1,5
454,586_2,メブキジカ(なつ),ノーマル,くさ,80,100,70,60,70,95,ようりょくそ,そうしょく,てんのめぐみ,92.5,1,1,5
455,586_3,メブキジカ(あき),ノーマル,くさ,80,100,70,60,70,95,ようりょくそ,そうしょく,てんのめぐみ,92.5,1,1,5
456,586_4,メブキジカ(ふゆ),ノーマル,くさ,80,100,70,60,70,95,ようりょくそ,そうしょく,てんのめぐみ,92.5,1,1,5
457,590,タマゲタケ,くさ,どく,69,55,45,55,55,15,ほうし,,さいせいりょく,1,0,0,5
458,591,モロバレル,くさ,どく,114,85,70,85,80,30,ほうし,,さいせいりょく,10.5,3,4,5
459,594,ママンボウ,みず,,165,75,80,40,45,65,いやしのこころ,うるおいボディ,さいせいりょく,31.6,3,2,5
460,595,バチュル,むし,でんき,50,47,50,57,50,65,ふくがん,きんちょうかん,むしのしらせ,0.6,0,0,5
461,596,デンチュラ,むし,でんき,70,77,60,97,60,108,ふくがん,きんちょうかん,むしのしらせ,14.3,0,0,5
462,602,シビシラス,でんき,,35,55,40,45,40,60,ふゆう,,,0.3,0,0,5
463,603,シビビール,でんき,,65,85,70,75,70,40,ふゆう,,,22,0,0,5
464,604,シビルドン,でんき,,85,115,80,105,80,50,ふゆう,,,80.5,2,2,5
465,607,ヒトモシ,ゴースト,ほのお,50,30,55,65,55,20,もらいび,ほのおのからだ,すりぬけ,3.1,0,0,5
466,608,ランプラー,ゴースト,ほのお,60,40,60,95,60,55,もらいび,ほのおのからだ,すりぬけ,13,0,0,5
467,609,シャンデラ,ゴースト,ほのお,60,55,90,145,90,80,もらいび,ほのおのからだ,すりぬけ,34.3,3,3,5
468,610,キバゴ,ドラゴン,,46,87,60,30,40,57,とうそうしん,かたやぶり,きんちょうかん,18,0,0,5
469,611,オノンド,ドラゴン,,66,117,70,40,50,67,とうそうしん,かたやぶり,きんちょうかん,36,0,0,5
470,612,オノノクス,ドラゴン,,76,147,90,60,70,97,とうそうしん,かたやぶり,きんちょうかん,105.5,2,2,5
471,613,クマシュン,こおり,,55,70,40,60,40,40,ゆきがくれ,ゆきかき,びびり,8.5,0,0,5
472,614,ツンベアー,こおり,,95,130,80,70,80,50,ゆきがくれ,ゆきかき,すいすい,260,1,1,5
473,615,フリージオ,こおり,,80,50,50,95,135,105,ふゆう,,,148,1,1,5
474,619,コジョフー,かくとう,,45,85,50,55,50,65,せいしんりょく,さいせいりょく,すてみ,20,0,0,5
475,620,コジョンド,かくとう,,65,125,60,95,60,105,せいしんりょく,さいせいりょく,すてみ,35.5,2,2,5
476,622,ゴビット,じめん,ゴースト,59,74,50,35,50,35,てつのこぶし,ぶきよう,ノーガード,92,0,0,5
477,623,ゴルーグ,じめん,ゴースト,89,124,80,55,80,55,てつのこぶし,ぶきよう,ノーガード,330,0,0,5
478,624,コマタナ,あく,はがね,45,85,70,40,40,60,まけんき,せいしんりょく,プレッシャー,10.2,0,0,5
479,625,キリキザン,あく,はがね,65,125,100,60,70,70,まけんき,せいしんりょく,プレッシャー,70,0,0,5
480,627,ワシボン,ノーマル,ひこう,70,83,50,37,50,60,するどいめ,ちからずく,はりきり,10.5,0,0,5
481,628_1,ウォーグル(通常),ノーマル,ひこう,100,123,75,57,75,80,するどいめ,ちからずく,まけんき,41,2,2,5
482,628_2,ウォーグル(ヒスイ),エスパー,ひこう,110,83,70,112,70,65,するどいめ,ちからずく,いろめがね,43.4,2,2,8.5
483,629,バルチャイ,あく,ひこう,70,55,75,45,65,60,はとむね,ぼうじん,くだけるよろい,9,0,0,5
484,630,バルジーナ,あく,ひこう,110,65,105,55,95,80,はとむね,ぼうじん,くだけるよろい,39.5,2,2,5
485,633,モノズ,あく,ドラゴン,52,65,50,45,50,38,はりきり,,,17.3,0,0,5
486,634,ジヘッド,あく,ドラゴン,72,85,70,65,70,58,はりきり,,,50,0,0,5
487,635,サザンドラ,あく,ドラゴン,92,105,90,125,90,98,ふゆう,,,160,3,2,5
488,636,メラルバ,むし,ほのお,55,85,55,50,55,60,ほのおのからだ,,むしのしらせ,28.8,0,0,5
489,637,ウルガモス,むし,ほのお,85,60,65,135,105,100,ほのおのからだ,,むしのしらせ,46,3,4,5
490,638,コバルオン,はがね,かくとう,91,90,129,90,72,108,せいぎのこころ,,,250,0,0,5
491,639,テラキオン,いわ,かくとう,91,129,90,72,90,108,せいぎのこころ,,,260,0,0,5
492,640,ビリジオン,くさ,かくとう,91,90,72,90,129,108,せいぎのこころ,,,200,0,0,5
